id;uuid;district;name;street;zip_city;begin;end;20151116;20151117;20151118;20151119;20151120;20151121;20151122;20151123;20151124;20151125;20151126;20151127;20151128;20151129;20151130;20151201;20151202;20151203;20151204;20151205;20151206;20151207;20151208;20151209;20151210;20151211;20151212;20151213;20151214;20151215;20151216;20151217;20151218;20151219;20151220;20151221;20151222;20151223;20151224;20151225;20151226;20151227;20151228;20151229;20151230;20151231;20160101;20160102;20160103;20160104;20160105;20160106;organizer;org_address;org_contact;phone;phone2;fax;hours;email;web;facebook;kind;lat;lng;fee;remarks;todo;transit
2;2;Charlottenburg-Wilmersdorf;Weihnachtsmarkt vor dem Schloss Charlottenburg;Spandauer Damm zwischen Luisenplatz und Klausenerplatz;14059 Berlin;2015-11-23;2015-12-26;;;;;;;;14:00-22:00;14:00-22:00;14:00-22:00;14:00-22:00;12:00-22:00;12:00-22:00;12:00-22:00;14:00-22:00;14:00-22:00;14:00-22:00;14:00-22:00;12:00-22:00;12:00-22:00;12:00-22:00;14:00-22:00;14:00-22:00;14:00-22:00;14:00-22:00;12:00-22:00;12:00-22:00;12:00-22:00;14:00-22:00;14:00-22:00;14:00-22:00;14:00-22:00;12:00-22:00;12:00-22:00;12:00-22:00;14:00-22:00;14:00-22:00;14:00-22:00;;12:00-20:00;12:00-20:00;;;;;;;;;;;;werbeteam berlin/Tommy Erbe;;;261 20 12;;261 20 22;Mo-Do 14:00-22:00<br>Fr-So 12:00-22:00<br>24.12. geschlossen<br>25./26.12. 12:00-20:00;info@werbeteam-berlin.de;www.werbeteam-berlin.de;;gewerblich;52.519951;13.295946;;<p>Die alljährliche Weihnachtszeit wird ganz besonders von unseren Kindern mit großer Vorfreude herbeigesehnt. Deshalb haben wir für unsere kleinsten Besucher ein zusätzliches Areal direkt vor der Kleinen Orangerie geschaffen, auf dem wir mit besonderen Angeboten aufwarten: Es gibt mehrere nostalgische und historische Kinderkarussells, ein Riesenrad, einen Kettenflieger, eine Mini-Achterbahn, ein Pferde-Karussell und die schon genannte Luftschaukel. Auch wieder mit dabei ist die kleine Märchen-Eisenbahn und ganz neu unser Oldtimerkarussell, das durch den weihnachtlichen beleuchteten Winterwald fährt.</p><p>Unsere Gastronomen bieten köstliche Spezialitäten aus unterschiedlichsten Regionen und Ländern wie z.B. Ungarn, Polen, Russland, den Niederlanden, Italien, Schweden, Frankreich, Österreich, Bayern, Brandenburg, Berlin und Thüringen darunter Traditionelles und zahlreiche, unbekannte Rezepturen. Ob für ‚auf die Hand’ zum Rundgang oder am gedeckten Tisch in den beheizten Restaurant-Pagoden des schönsten Winter-Open-Air Restaurant Berlins  mit Blick auf das Schloss Charlottenburg – von süß bis herzhaft gibt es ein umfangreiches Speisenangebot zu verkosten: Österreichische Spezialitäten, das große Entenzelt oder Deftiges aus der Brandenburger Küche.</p>;text checked;
4;2004;Charlottenburg-Wilmersdorf;32. Weihnachtsmarkt an der Gedächtniskirche;Breitscheidplatz ;10789 Berlin;2015-11-23;2016-01-03;;;;;;;;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-22:00;11:00-22:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-22:00;11:00-22:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-22:00;11:00-22:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-22:00;11:00-22:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-14:00;13:00-21:00;13:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-02:00;13:00-21:00;11:00-22:00;11:00-21:00;;;;Arbeitsgemeinschaft City e.V., Schaustellerverband Berlin e.V.;Budapester Str. 41;;262 95 92;;262 95 93;So-Do 11:00-21:00<br>Fr-Sa 11:00-22:00<br>24.12. 11:00-14:00<br>25./26.12. 13:00-21:00<br>31.12. 11:00-02:00<br>01.01. 13:00-21:00;info@svbev.de;www.schaustellerverband-berlin.de;;gewerblich;52.5048861;13.3355106;;"<p>Hundertausende von Lichtern tauchen den Breitscheidplatz, den Tauentzien und den Kurfürstendamm in warmes Licht und der Duft von Glühwein, Lebkuchen und gebrannten Mandeln versetzen die City-West in diese behagliche, vorweihnachtliche Stimmung.</p><p>Der berühmte Berliner Weihnachtsbaum ist stattliche 25 Meter hoch und wurde von einem anoymen Gönner aus Lichterfelde gespendet. Um ihn und die Gedächtniskirche herum laden über 170 liebevoll dekorierte Stände mit Kunsthandwerk, Schmuck und anderen Geschenk- und Weihnachtsartikeln zum entspannten Bummel ein.</p><p>Wahre Gaumenfreuden sind die Schmalzkuchen, Germknödel, Herzhaftes vom Lavagrill, die original Nürnberger Rostbratwurst und der Glühwein in unterschiedlichsten Variationen, wie zum Beispiel der beliebte Heidelbeer-, Apfel- oder Kirschglühwein. Besonders im beheizten Glühweintreff oder am offenen Feuer des Feuerzangen-Bowle Standes lässt es sich auch an kalten Tagen gut aushalten.</p><p>Kulinarisches Highlight ist in diesem Jahr Michael Rodens Hirschstube, in der Sternekoch Matthias Buchholz (Gault-Millau 2001 ""Koch des Jahres"" und Gewinner des ""Five Diamond Award"") die Gäste mit weihnachtlicher Gourmetküche und einer erlesenen Weinkarte begeistern wird. Ein idealer Ort für die Weihnachtsfeier mit Freunden oder Arbeitskollegen.</p><p>Am Fuß des Weihnachtsbaums findet man wieder die Hütte des Weihnachtsmannes. Er verteilt täglich von 16 bis 17 Uhr und am 24. Dezember von 12 bis 13 Uhr Geschenke an die Kinder und nimmt deren Wünsche entgegen. Kleine und große Besucher können bei den ""Backmäusen"" Teig kneten, Formen stechen und Plätzchen backen, die man gleich vernaschen oder als Weihnachtsgeschenk mitnehmen kann. Attraktive Kinderkarussells und Verkaufsstände mit typisch weihnachtlichen Süßwaren runden das Angebot für Familien mit Kindern ab.</p><p>Mit vier Feuerwerken, die vom Europa-Center am 31. Dezember um 18, 20, 22 und 24 Uhr gezündet werden, verabschiedet sich der Breitscheidplatz vom alten Jahr und wird zum geselligen Treffpunkt für Familien, Freunde und Besucher der Stadt.</p><p>Der Weihnachtsmarkt ist aufgrund seiner barrierefreien Begehbarkeit auch für mobilitätseingeschränkte Personen erlebbar.</p><p>Auf eine schöne Weihnachtszeit und ein gesundes Neues Jahr!</p>";neuer text;
6;4;Charlottenburg-Wilmersdorf;Weihnachtsmarkt in der Fußgängerzone Wilmersdorfer Straße;Wilmersdorfer Straße;10627 Berlin;2015-11-26;2015-12-28;;;;;;;;;;;11:00-21:00;11:00-21:00;10:00-21:00;12:00-19:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;10:00-21:00;12:00-19:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;10:00-21:00;12:00-19:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;11:00-21:00;10:00-21:00;12:00-19:00;11:00-21:00;11:00-21:00;11:00-21:00;10:00-14:00;;;12:00-19:00;11:00-21:00;;;;;;;;;;Lauenburger, A.;;;0163/495 77 62;;;Mo-Fr 11:00-21:00<br>Sa 10:00-21:00<br>So 12:00-19:00<br>24.12. 10:00-14:00<br>25./26.12. geschlossen;lauenburger-pony@gmx.de;www.wilmersdorfer-arcaden.de;;gewerblich;52.509313;13.305994;;<p>Frohe Weihnachten heißt es in diesem Jahr auf dem Weihnachtsmarkt der Wilmersdorferstraße täglich von 11:00 Uhr bis 21:00 Uhr und am Sonntag von 13:00 Uhr bis 20:00 Uhr! Dort gibt es in diesem Jahr tolle Attraktionen.</p><p>Bestaunen Sie doch die wunderschöne Weihnachtstanne mit über 15.400 Lichtern oder die tolle Weihnachtskrippe mit lebensgroßen Figuren. Flanieren Sie im wunderschönen Weihnachtlichen Ambiente. Genießen Sie z.B. ein tolles Wildgericht, Köttbullar oder Kartoffelpuffer. Dazu ein schönes Glas Glögg mit Mandeln und Rosinen, Glühwein oder Eierpunsch?</p><p>Auch naschen ist an Weihnachten erlaubt!! Hierzu gibt es Feinstes aus Schokolade, gebrannte Mandeln, kandierte Früchte, Crêpes und Gebäck.</p><p>Auch der Spaß bei den kleinen kommt nicht zu kurz hier gibt es das beliebte Ponyreiten, Kinderkarussell und die lustige Bimmelbahn. Also, in der Wilmersdorferstraße bleibt kein Wunsch offen... Wir freuen uns auf Ihren Besuch!!!</p>;text checked;
8;6;Charlottenburg-Wilmersdorf;Weihnachten in Westend;Preußenallee;14052 Berlin;2015-12-19;2015-12-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11:00-21:00;11:00-21:00;;;;;;;;;;;;;;;;;;Family & Friends e. V.;;;305 55 21;;305 55 21;11:00-20:00;kontakt@family-and-friends-eV.de;www.family-and-friends-eV.de;https://de-de.facebook.com/pages/Weihnachten-in-Westend/539042856176586;teilgewerblich;52.512538;13.259213;;<p>Am 4. Adventswochenende können sich alle Besucher und Besucherinnen auf winterliche Spezialitäten und süße Leckereien, die Märchenerzählerin Rumpumpel, Greifvögel mit ihrem Falkner sowie die Weihnachtskrippe mit lebenden Tieren freuen.</p><p>Künstler und Kunsthandwerker stellen ihre Produkte aus, lassen sich bei der Arbeit über die Schulter sehen und verkaufen ihre selbst gefertigten Kunst-Stücke an Ort und Stelle, darunter der Kupferklopfer und der Schmied, der Drechsler und der Gürtelmacher, das Kerzenziehen sowie von Hand gesponnene Wolle, die vor Ort zu Kleidungsstücken verarbeitet wird. Und ob Keramik der Extraklasse, gehäkelte und gefädelte Ketten, einzigartige Lampen aus Glas, Wohnliches aus Tiffany und Fusingglas, Glas- und Porzellanmalerei, Bilder und Karten aus gepressten Pflanzen, handgefertigte Mode aus Walkloden, Taschen und Körbe aus Tetrapak, Berliner Fotokunst sowie Architekturfotografie und Lost Places, Dekopageartikel im Shabby-Look und Patchwork, Tägliches aus Hauptsaechlich Leinen, Keramikblüten, Lesemagneten, ... Sie haben alle eines gemeinsam: Sie sind originell - und - original!</p><p>Und außerdem hat noch ein radelndes und sprechendes weihnachtliches Rüsseltier sein Kommen angesagt.</p>;text checked;
10;8;Charlottenburg-Wilmersdorf;Weihnachtsmarkt Berlin-Grunewald des Johannischen Sozialwerks e. V.;St.-Michaels-Heim, Bismarckallee 23;14193 Berlin;2015-11-27;2015-11-29;;;;;;;;;;;;16:00-20:00;14:00-20:00;12:00-18:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Johannisches Sozialwerk e.V.;;;89 68 80;;89 68 81 85;Fr 16:00-20:00<br>Sa 14:00-20:00<br>So 12:00-18:00;;www.johannisches-sozialwerk.de;;gemeinnützig;52.488350;13.27725;;<p>Seit Monaten schon haben viele fleißige Hände geklebt und gewerkelt und gebacken. Andere haben Spenden von Trödel, Büchern und Secondhand-Kleidung sortiert und präsentabel vorbereitet. Sänger und Instrumentalisten haben beständig geübt, Laienspieler geprobt, Organisatoren organisiert. Viele ehrenamtliche Helfer – Mitglieder und Freunde der Johannischen Kirche und des Johannischen Sozialwerks e.V. – haben das St.-Michaels-Heim und das Außengelände für Sie vorbereitet und geschmückt. Nun heißen wir Sie alle Herzlich willkommen!</p><p>Wir freuen uns und hoffen, dass Sie bei uns finden, was Ihnen gut tut: Vielleicht etwas Schmuck für den Tannenbaum, Weihnachtsgebäck wie zu Großmutters Zeiten, kulturelle und kulinarische Genüsse, einen schönen Weihnachtsstern, Weihnachtsstimmung bei Gesang und Bläserklang...</p><p>Wir danken für Ihr Kommen und das, was Sie uns an Freude und Zeit bringen. Der Reinerlös dieses Weihnachtsmarktes kommt der Arbeit des Johannischen Sozialwerks e.V. und damit Kindern und Jugendlichen, kranken, behinderten und hilfsbedürftigen Menschen zugute.</p><p>Eine gesegnete Adventszeit wünschen Ihnen das Johannische Sozialwerk e.V. sowie alle Helfer und Mitarbeiter</p>;neuer text;
12;10;Charlottenburg-Wilmersdorf;Schwedischer Weihnachtsbasar;Landhausstr. 26;10717 Berlin;2015-11-28;2015-11-29;;;;;;;;;;;;;10:00-19:00;12:00-18:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwedische Victoriagemeinde;;;864 95 90;;86 49 59 99;Sa 10:00-19:00<br>So 12:00-18:00;berlin@svenskakyrkan.se;www.svenskakyrkan.se;;gemeinnützig;52.487400;13.3287;;<p>... wie immer am 1. Advent: Weihnachtsbasar der Schwedischen Kirche</p><p>Kunsthandwerk, Weihnachtsdecken und Weihnachtsschmuck, Lebensmittel und Textil aus Schweden und Norwegen. Tombola, Cafeteria, Imbisse</p><p>Lucia kommt an beiden Tagen gegen 16 Uhr.</p><p>Wir freuen uns auf Ihren Besuch! Die Schwedische Victoriagemeinde</p>;text checked;
14;12;Charlottenburg-Wilmersdorf;Dänischer Weihnachtsmarkt;Brienner Str. 12;10713 Berlin;2015-11-28;2015-11-29;;;;;;;;;;;;;12:00-18:00;12:00-17:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dänische Gemeinde Berlin;;;873 44 30;;873 44 30;Sa 12:00-18:00<br>So 12:00-17:00;;www.christianskirken.de;;gemeinnützig;52.488090;13.31249;;<p>Dänische Spezialitäten: Smørrebrød, Snaps, Æbleskiver, Glögg, Hotdogs, Suppe, Ris a la mande, Kuchen, Dänische Lebensmittel, Tombola, Nisser, Engel, Weihnachtsschmuck, Glas, Kerzen, Mobiles, Textilien, Kindermode, Spielzeug und Dänisches Design</p><p>Eröffnung durch den dänischen Botschafter Per Poulsen-Hansen</p><p>Live Jazzmusik und vieles mehr...</p><p>Christianskirken - Die Dänische Kirche am Fehrbellinerplatz</p>;text checked;
16;14;Charlottenburg-Wilmersdorf;Weihnachtsmarkt rund um die Grunewaldkirche;Bismarckallee 28 B;14193 Berlin;2015-11-29;2015-11-29;;;;;;;;;;;;;;11:00-19:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Evangelische Kirchengemeinde Grunewald, Kontakt: Petra Krüger, Claudia Noll;;;23 25 83 02;;23 25 83 02;11:00-19:00;weihnachtsmarkt@grunewaldgemeinde.de;www.grunewaldgemeinde.de;;gemeinnützig;52.485430;13.27483;;<p>Weihnachtsstern und Mandelkern zum 1. Advent. Am 29. November ist es wieder soweit: Der traditionelle Grunewalder Weihnachtsmarkt öffnet von 11-19 Uhr seine Pforten.</p><p>Ein Henkelglas mit heißem Glühwein wärmt die kalten Finger, Bratwurstduft weht herüber, ein Hauch von Zimt liegt in der Luft: Beim Bummel über unseren Weihnachtsmarkt steigt die Vorfreude auf Weihnachten. In Grunewald trifft man sich mit Freunden und Bekannten, grüßt den einen oder anderen und schlendert zwischen den 60 Ständen mit vielfältigem Kunsthandwerk, duftenden Leckereien und informativen Einblicken in die Arbeit der Grunewalder Kirchengemeinden beider Konfessionen und anderer sozialer Einrichtungen und Initiativen. Fast nebenbei ersteht man auch das eine oder andere Mitbringsel, mit dem man seinen Liebsten zu Weihnachten eine Freude bereiten kann.</p><p>Rund um die markanten dreieckigen Glühweinstände ist es meist am vollsten. Der Glühwein, der nach einem alten Grunewalder Rezept zubereitet wird, ist einfach ein Genuss. Und das abwechslungsreiche Programm in der Kirche, das Weihnachtsliedersingen mit KMD Brick sowie das Kinderprogramm der Kita locken Groß und Klein ins Warme.</p>;neuer text;
18;16;Charlottenburg-Wilmersdorf;Nikolausmarkt der Beschäftigungs- und Bildungsträger;im Rathaus Charlottenburg, Otto-Suhr-Allee 100;10585 Berlin;2015-11-26;2015-11-26;;;;;;;;;;;11:00-14:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BA Charlottenburg-Wilmersdorf von Berlin;;Abt. Soziales + Gesundheit;902 91 43 04;;;11:00-14:30;cw801003@charlottenburg-wilmersdorf.de;;;gemeinnützig;52.517122;13.30807;;<p>In den vergangen Jahren hatte sich der Nikolausmarkt am Rathaus Wilmersdorf als beliebter Geheimtipp für Geschenkideen etabliert, die man nicht überall findet. Auf dem Markt werden nämlich Produkte aus den Werkstätten und Küchen von gemeinnützigen Trägern präsentiert, die sich für die Integration von Menschen in den Arbeitsmarkt engagieren, bzw. Menschen eine Beschäftigung bieten, die wegen einer Behinderung oder psychischen Erkrankung keinen Zugang zum Arbeitmarkt finden.</p>;neuer text;
20;18;Charlottenburg-Wilmersdorf;33. Weihnachtsmarkt in der Lindenkirche;Homburger Str. 48;14197 Berlin;2015-12-05;2015-12-05;;;;;;;;;;;;;;;;;;;;12:00-18:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Evangelische Lindenkirchengemeinde;;;827 92 20;;82 79 22 41;12:00-18:00;buero@lindenkirche.de;www.lindenkirche.de;;gemeinnützig;52.474501;13.309133;;"<p>Viele Verkaufsstände, Trödel, großer Bücherstand, Waffeln, Tag der offenen Tür der Kita, Cafeteria, Historische Modellbahn, Musik, Essen, Glühwein, Tombola, ""Die Hauptstadtseife"", Brot aus dem Holzbackofen, uvm.</p>";neuer text;
