"id";"bezirk";"name";"strasse";"plz_ort";"veranstalter";"von";"bis";"oeffnungszeiten";"email";"w3";"bemerkungen";"lat";"lng"
"2";"Charlottenburg-Wilmersdorf";"Weihnachtsmarkt vor dem Schloss Charlottenburg";"Spandauer Damm zwischen Luisenplatz und Klausenerplatz";"14059 Berlin";"werbeteam berlin/Tommy Erbe
Tel.: 261 20 12, Fax: 261 20 22";"2015-11-23";"2015-12-26";"Mo-Do 14:00-22:00
Fr-So 12:00-22:00
25./26.12. 12:00-20:00";"mailto:info@werbeteam-berlin.de";"www.werbeteam-berlin.de";"24.12. geschlossen, ";"52,519951";"13,295946"
"4";"Charlottenburg-Wilmersdorf";"32. Weihnachtsmarkt an der Gedächtniskirche";"Breitscheidplatz ";"10789 Berlin";"Arbeitsgemeinschaft City e.V.
Budapester Str. 41
Tel.: 262 95 92, Fax: 262 95 93
Schaustellerverband Berlin e.V.
www.schaustellerverband-berlin.de";"2015-11-23";"2016-01-03";"So-Do 11:00-21:00
Fr-Sa 11:00-22:00
24.12. 11:00-14:00
25./26.12. 13:00-21:00
31.12. 11:00-02:00
01.01. 13:00-21:00";"mailto:info@svbev.de";"www.agcity.de";"Eintritt frei,
31.12. 10:00 Gottesdienst,
31.12. 18:00, 20:00, 22:00, 24:00 Silvesterfeuerwerke";"52,504886";"13,335511"
"6";"Charlottenburg-Wilmersdorf";"Weihnachtsmarkt in der Fußgängerzone Wilmersdorfer Straße";"Wilmersdorfer Straße";"10627 Berlin";"Lauenburger, A., Tel.: 0163/495 77 62";"2015-11-26";"2015-12-28";"Mo-Fr 11:00-21:00
Sa 10:00-21:00
So 12:00-19:00
24.12. 10:00-14:00
25./26.12. geschlossen";"mailto:lauenburger-pony@gmx.de";"www.wilmersdorfer-arcaden.de";"  ";"52,509313";"13,305994"
"8";"Charlottenburg-Wilmersdorf";"Weihnachten in Westend";"Preußenallee";"14052 Berlin";"Family & Friends e. V.
Tel. und Fax: 305 55 21";"2015-12-19";"2015-12-20";"11:00-20:00";"mailto:kontakt@family-and-friends-eV.de";"www.family-and-friends-eV.de";"Eintritt frei, das Rüsseltier ist an beiden Tagen unterwegs, Greifvogelschau und Weihnachtskrippe, Kunsthandwerk";"52,512538";"13,259213"
"10";"Charlottenburg-Wilmersdorf";"Weihnachtsmarkt Berlin-Grunewald des Johannischen Sozialwerks e. V.";"St.-Michaels-Heim
 Bismarckallee 23";"14193 Berlin";"Johannisches Sozialwerk e.V.
Tel.: 89 68 80, Fax: 89 68 81 85";"2015-11-27";"2015-11-29";"Fr 16:00-20:00
Sa 14:00-20:00
So 12:00-18:00";"";"www.johannisches-sozialwerk.de";"";"52,48835";"13,27725"
"12";"Charlottenburg-Wilmersdorf";"Schwedischer Weihnachtsbasar";"Landhausstr. 26";"10717 Berlin";"Schwedische Victoriagemeinde
Tel.: 864 95 90, Fax: 86 49 59 99";"2015-11-28";"2015-11-29";"Sa 10:00-19:00
So 12:00-18:00";"mailto:berlin@svenskakyrkan.se";"www.svenskakyrkan.se";"Die Lichterkönigin Lucia kommt an beiden Tagen um 16:00 Uh";"52,4874";"13,3287"
"14";"Charlottenburg-Wilmersdorf";"Dänischer Weihnachtsmarkt";"Brienner Str. 12";"10713 Berlin";"Dänische Gemeinde Berlin
Tel. und Fax: 873 44 30";"2015-11-28";"2015-11-29";"Sa 12:00-18:00
So 12:00-17:00";"";"www.christianskirken.de";"";"52,48809";"13,31249"
"16";"Charlottenburg-Wilmersdorf";"Weihnachtsmarkt rund um die Grunewaldkirche";"Bismarckallee 28 B";"14193 Berlin";"Evangelische Kirchengemeinde Grunewald, Kontakt: Petra Krüger, Claudia Noll
, AB/Fax: 23 25 83 02";"2015-11-29";"2015-11-29";"11:00-19:00";"mailto:weihnachtsmarkt@grunewaldgemeinde.de";"www.grunewaldgemeinde.de";"";"52,48543";"13,27483"
"18";"Charlottenburg-Wilmersdorf";"Nikolausmarkt der Beschäftigungs- und Bildungsträger";"im Rathaus Charlottenburg, Otto-Suhr-Allee 100";"10585 Berlin";"BA Charlottenburg-Wilmersdorf von Berlin
Abt. Soziales + Gesundheit
Tel.: 902 91 43 04";"2015-11-26";"2015-11-26";"11:00-14:30";"mailto:cw801003@charlottenburg-wilmersdorf.de";"";"";"52,517122";"13,30807"
"20";"Charlottenburg-Wilmersdorf";"33. Weihnachtsmarkt in der Lindenkirche";"Homburger Str. 48";"14197 Berlin";"Evangelische Lindenkirchengemeinde
Tel.: 827 92 20, Fax: 82 79 22 41";"2015-12-05";"2015-12-05";"12:00-18:00";"mailto:buero@lindenkirche.de";"www.lindenkirche.de";"";"52,474501";"13,309133"
