uuid,name,date,time,documenturl,description,location,city,street,zip,organizer,org_city,org_address,org_zip,web
201501,Weihnachten bei den Buddenbrooks - eine Lesung mit Jörg Zimmer,22.11.2015,11 Uhr,http://www.moers.de/de/veranstaltungen/weihnachten-bei-den-buddenbrooks-eine-lesung-mit-joerg-zimmer/,,Peschkenhaus,Moers,Meerstraße 1,47441,Moerser Gesellschaft zur Förderung des literarischen Lebens e.V.,,,,http://www.moersergesellschaft.de
2,Moerser Weihnachtsmarkt,26.11.2015 bis 22.12.2015,,http://www.moers.de/de/veranstaltungen/moerser-weihnachtsmarkt-3224274/,,Kastellplatz,Moers,Kastell,47441,Moers Marketing GmbH,Moers,Homberger Straße 4,47441,http://www.moers-stadtportal.de
201502,ComedyArts spezial: Der Sparkassen-Weihnachtsclub am 27.11.2015,27.11.2015,20 Uhr,http://www.moers.de/de/veranstaltungen/comedyarts-spezial-der-sparkassen-weihnachtsclub/,,Bollwerk 107,Moers,Homberger Straße 107,47441,Bollwerk 107,Moers - Mitte,Homberger Straße 107,47441,http://www.bollwerk107.de
201503,"Veranstaltung zum Projekt ""Lesestart"": Der kleine Hase im Weihnachtswald von Rebecca Harry - 
Bilderbuchkino und Basteln mit Ina Wilmsmann- nur für Kinder rund um das 3. Lebensjahr",28.11.2015,11.30 Uhr bis 12.30 Uhr,http://www.moers.de/de/veranstaltungen/veranstaltung-zum-projekt-lesestart-der-kleine-hase-im-weihnachtswald-von-rebecca-harry-bilderbuchkino-und-basteln-mit-ina-wilmsmann-nur-fuer-kinder-rund-um-das-3.-lebensjahr-2290541/,,"Bibliothek, Kinder- und Jugendbibliothek",Moers,Wilhelm-Schroeder-Straße 10,47441,"Bibliothek, Zentrale",Moers,Wilhelm-Schroeder-Straße 10,47441,http://www.bibliothek-moers.de
201504,ComedyArts spezial: Der Sparkassen-Weihnachtsclub am 28.11.2015,28.11.2015,20 Uhr,http://www.moers.de/de/veranstaltungen/comedyarts-spezial-der-sparkassen-weihnachtsclub-am-28.11.2015/,,Bollwerk 107,Moers,Homberger Straße 107,47441,Bollwerk 107,Moers - Mitte,Homberger Straße 107,47441,http://www.bollwerk107.de
201505,Adventsmarkt in Moers-Asberg,29.11.2015,11 Uhr bis 18 Uhr,http://www.moers.de/de/veranstaltungen/adventsmarkt-in-moers-asberg/,,Asberg,Moers,-,47441,"Fett, Wolfgang",Moers,Bonifatiusstraße 95,47441,http://
201506,Adventskonzert,29.11.2015,17 Uhr,http://www.moers.de/de/veranstaltungen/adventskonzert-5944727/,,Kath. Pfarrkirche St. Josef,Moers,Kastell 13,47441,Moerser Musikschule,MOERS,Filder Straße 126,47447,http://www.moerser-musikschule.de
26,Bastelwerkstatt Advent für Kinder ab 5 Jahren - Zusatztermin,01.12.2015,15 Uhr bis 16.30 Uhr,http://www.moers.de/de/veranstaltungen/bastelwerkstatt-advent-fuer-kinder-ab-5-jahren-zusatztermin-7800088/,,"Bibliothek, Kinder- und Jugendbibliothek",Moers,Wilhelm-Schroeder-Straße 10,47441,"Bibliothek, Zentrale",Moers,Wilhelm-Schroeder-Straße 10,47441,http://www.bibliothek-moers.de
201507,Wodo Puppenspiel zeigt Nulli und Priesemut - Ein Baum für den Weihnachtsmann,03.12.2015,15 Uhr,http://www.moers.de/de/veranstaltungen/wodo-puppenspiel-zeigt-nulli-und-priesemut-ein-baum-fuer-den-weihnachtsmann-8275892/,,"Bibliothek, Zweigstelle Repelen",Moers,Lintforter Straße 101,47445,"Bibliothek, Zweigstelle Repelen",Moers,Lintforter Straße 101,47445,http://www.bibliothek-moers.de
6,Der kleine Hase im Weihnachtswald von Rebecca Harry - Bilderbuchkino und Basteln mit Ina Wilmsmann für Kinder ab 4  Jahren,05.12.2015,11.30 Uhr bis 13 Uhr,http://www.moers.de/de/veranstaltungen/der-kleine-hase-im-weihnachtswald-von-rebecca-harry-bilderbuchkino-und-basteln-mit-ina-wilmsmann-fuer-kinder-ab-4-jahren-7907174/,,"Bibliothek, Kinder- und Jugendbibliothek",Moers,Wilhelm-Schroeder-Straße 10,47441,"Bibliothek, Zentrale",Moers,Wilhelm-Schroeder-Straße 10,47441,http://www.bibliothek-moers.de
