id,district,name,street,zip_city,lon,lat,hours,20141117,20141118,20141119,20141120,20141121,20141122,20141123,20141124,20141125,20141126,20141127,20141128,20141129,20141130,20141201,20141202,20141203,20141204,20141205,20141206,20141207,20141208,20141209,20141210,20141211,20141212,20141213,20141214,20141215,20141216,20141217,20141218,20141219,20141220,20141221,20141222,20141223,20141224,20141225,20141226,20141227,20141228,20141229,20141230,20141231,20150101,20150102,20150103,20150104,20150105,20150106,organizer,org_address,org_contact,phone,phone2,fax,email,web,fee,kind,remarks,todo,copyright
14,Charlottenburg-Wilmersdorf,37. Grunewalder Weihnachtsmarkt,Bismarckallee 28 B,14193 Berlin,,,11:00-19:00,,,,,,,,,,,,,,11:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evangelische Kirchengemeinde Grunewald,,Frau Wecke,,,89 73 33 55,h.wecke@grunewaldgemeinde.de,www.grunewaldgemeinde.de,,gemeinnützig,"<p>Weihnachtsstern und Mandelkern zum 1. Advent. Am 30. November ist es wieder soweit: Der traditionelle Grunewalder Weihnachtsmarkt öffnet von 11-19 Uhr seine Pforten.</p><p>Ein Henkelglas mit heißem Glühwein wärmt die kalten Finger, Bratwurstduft weht herüber, ein Hauch von Zimt liegt in der Luft: Beim Bummel über unseren Weihnachtsmarkt steigt die Vorfreude auf Weihnachten. In Grunewald trifft man sich mit Freunden und Bekannten, grüßt den einen oder anderen und schlendert zwischen den 60 Ständen mit vielfältigem Kunsthandwerk, duftenden Leckereien und informativen Einblicken in die Arbeit der Grunewalder Kirchengemeinden beider Konfessionen und anderer sozialer Einrichtungen und Initiativen. Fast nebenbei ersteht man auch das eine oder andere Mitbringsel, mit dem man seinen Liebsten zu Weihnachten eine Freude bereiten kann.</p><p>Rund um die markanten dreieckigen Glühweinstände ist es meist am vollsten. Der Glühwein, der nach einem alten Grunewalder Rezept zubereitet wird, ist einfach ein Genuss. Und das abwechslungsreiche Programm in der Kirche, das Weihnachtsliedersingen mit KMD Brick sowie das Kinderprogramm der Kita locken Groß und Klein ins Warme.</p>",ready,Evangelische Kirchengemeinde Grunewald
12,Charlottenburg-Wilmersdorf,Dänischer Weihnachtsmarkt,Brienner Str. 12,10713 Berlin,,,Sa 12:00-18:00<br>So 12:00-17:00,,,,,,,,,,,,,12:00-18:00,12:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dänische Gemeinde Berlin,,,873 44 30,,,,www.christianskirken.de,,gemeinnützig,"<p>Dänische Spezialitäten: Smørrebrød, Snaps, Æbleskiver, Glögg, Hotdogs, Suppe, Ris a la mande, Kuchen, Dänische Lebensmittel, Tombola, Nisser, Engel, Weihnachtsschmuck, Glas, Kerzen, Mobiles, Textilien, Kindermode, Spielzeug und Dänisches Design</p><p>Eröffnung durch den dänischen Botschafter Per Poulsen-Hansen</p><p>Live Jazzmusik und vieles mehr...</p><p>Christianskirken - Die Dänische Kirche am Fehrbellinerplatz</p>",ready,Christianskirken
18,Charlottenburg-Wilmersdorf,32. Weihnachtsmarkt in der Lindenkirche,Homburger Str. 48,14197 Berlin,,,12:00-18:00,,,,,,,,,,,,,,,,,,,,12:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evangelische Lindenkirchengemeinde,,,827 92 20,,82 79 22 41,buero@lindenkirche.de,www.lindenkirche.de,,gemeinnützig,"<p>Viele Verkaufsstände, Trödel, großer Bücherstand, Waffeln, Tag der offenen Tür der Kita, Cafeteria, Historische Modellbahn, Musik, Essen, Glühwein, Tombola, ""Die Hauptstadtseife"", Brot aus dem Holzbackofen, uvm.</p><p>12:00 Uhr Beginn mit dem Bläserchor</p><p>16:00 Uhr Singspiel ""6.12. - Gutes kommt auch über Nacht""</p>",ready,Lindenkirchengemeinde
16,Charlottenburg-Wilmersdorf,Nikolausmarkt der Beschäftigungs- und Bildungsträger,"im Rathaus Charlottenburg, Otto-Suhr-Allee 100",10585 Berlin,,,11:00-14:30,,,,,,,,,,,11:00-14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BA Charlottenburg-Wilmersdorf von Berlin, Abt. Soziales + Gesundheit",,,902 91 57 56,,,cw801003@charlottenburg-wilmersdorf.de,,,gemeinnützig,"<p>In den vergangen Jahren hatte sich der Nikolausmarkt am Rathaus Wilmersdorf als beliebter Geheimtipp für Geschenkideen etabliert, die man nicht überall findet. Auf dem Markt werden nämlich Produkte aus den Werkstätten und Küchen von gemeinnützigen Trägern präsentiert, die sich für die Integration von Menschen in den Arbeitsmarkt engagieren, bzw. Menschen eine Beschäftigung bieten, die wegen einer Behinderung oder psychischen Erkrankung keinen Zugang zum Arbeitmarkt finden.</p><p>Sozial- und Gesundheitsstadtrat Carsten Engelmann eröffnet am Donnerstag, dem 27.11.2014 um 11:00 Uhr den Nikolausmarkt der Bildungs- und Beschäftigungsträger, der in diesem Jahr von 11:00 bis 15:00 Uhr am neuen Standort im Eingangsbereich des Rathauses Charlottenburg in der Otto-Suhr-Allee 100 stattfindet.</p><p>Carsten Engelmann: “Ich bin überzeugt davon, dass der Nikolausmarkt auch im schönen Rathaus Charlottenburg ein Erfolg wird. Der Markt ist ein sehr anschaulicher Weg zu zeigen, welche wunderbaren Produkte die Beschäftigten in den Werkstätten anfertigen.“</p>",ready,Bezirksamt Charlottenburg-Wilmersdorf von Berlin
10,Charlottenburg-Wilmersdorf,Schwedischer Weihnachtsbasar,Landhausstr. 26,10717 Berlin,,,Sa 10:00-19:00<br>So 12:00-18:00,,,,,,,,,,,,,10:00-19:00,12:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schwedische Victoriagemeinde,,,864 95 90,,86 49 59 99,berlin@svenskakyrkan.se,www.svenskakyrkan.se,,gemeinnützig,"<p>... wie immer am 1. Advent: Weihnachtsbasar der Schwedischen Kirche</p><p>Kunsthandwerk, Weihnachtsdecken und Weihnachtsschmuck, Lebensmittel und Textil aus Schweden und Norwegen. Tombola, Cafeteria, Imbisse</p><p>Lucia kommt an beiden Tagen gegen 16 Uhr.</p><p>Wir freuen uns auf Ihren Besuch! Die Schwedische Victoriagemeinde</p>",ready,Schwedische Victoriagemeinde
6,Charlottenburg-Wilmersdorf,Weihnachten in Westend,Preußenallee,14052 Berlin,,,11:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00-20:00,11:00-20:00,,,,,,,,,,,,,,,,,Family & Friends e. V.,,,305 55 21,,,kontakt@family-and-friends-eV.de,www.family-and-friends-eV.de,,teilgewerblich,"<p>Am 4. Adventswochenende können sich alle Besucher und Besucherinnen auf winterliche Spezialitäten und süße Leckereien, die Märchenerzählerin Rumpumpel, Greifvögel mit ihrem Falkner sowie die Weihnachtskrippe mit lebenden Tieren freuen.</p><p>Künstler und Kunsthandwerker stellen ihre Produkte aus, lassen sich bei der Arbeit über die Schulter sehen und verkaufen ihre selbst gefertigten Kunst-Stücke an Ort und Stelle, darunter der Kupferklopfer und der Schmied, der Drechsler und der Gürtelmacher, das Kerzenziehen sowie von Hand gesponnene Wolle, die vor Ort zu Kleidungsstücken verarbeitet wird. Und ob Keramik der Extraklasse, gehäkelte und gefädelte Ketten, einzigartige Lampen aus Glas, Wohnliches aus Tiffany und Fusingglas, Glas- und Porzellanmalerei, Bilder und Karten aus gepressten Pflanzen, handgefertigte Mode aus Walkloden, Taschen und Körbe aus Tetrapak, Berliner Fotokunst sowie Architekturfotografie und Lost Places, Dekopageartikel im Shabby-Look und Patchwork, Tägliches aus Hauptsaechlich Leinen, Keramikblüten, Lesemagneten, ... Sie haben alle eines gemeinsam: Sie sind originell - und - original!</p><p>Und außerdem hat noch ein radelndes und sprechendes weihnachtliches Rüsseltier sein Kommen angesagt.</p>",ready,Family & Friends e. V.
20,Charlottenburg-Wilmersdorf,Christmas Fair / A very British Christmas,Preußenallee 17-19,14052 Berlin,,,15:00-18:00,,,,,,,,,,,,,,,,,,,,15:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St George's Church,"Preußenallee 17-19, 14052 Berlin",,304 12 80,,,office@stgeorges.de,www.stgeorges.de,,gemeinnützig,"<p>The Anglican Parish of Berlin invites for this year’s varied Christmas Market. On the ground of the spacious church garden English and German stands offer specialties: Gifts, handicrafts, toys and games, a tombola, a raffle with wonderful prizes, homemade cakes and traditional mince pies along with other British specialties.</p><p>Lots of Christmas music with various choirs, bagpipes and a Christmas carol sing-along guarantee a special atomosphere. There is a room for children, with activities and professional readers to entertain them with Christmas tales in English and German. English books are on sale at great low prices in the chapel. Lots of alcoholic and nonalcoholic refreshments will be on sale to keep energy and spirits high!</p>",ready,St George’s Anglican Episcopal Church
22,Charlottenburg-Wilmersdorf,Kunsthandwerklicher Weihnachtsmarkt vor dem Bröhanmuseum,Schloßstr. 1-1 A,14059 Berlin,,,12:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,Kiezbündnis Klausenerplatz e.V.,,,30 82 44 95,,30 82 44 98,info@klausenerplatz.de,www.klausenerplatz.de,,gemeinnützig,"<p>Am Sonntag, den 14. Dezember 2014, findet - wie schon seit über zehn Jahren - vor dem Bröhanmuseum (Schloßstr. 1a) in Charlottenburg auch in diesem Jahr wieder zwischen 12.00 – 18.00 Uhr der kunsthandwerkliche Weihnachtsmarkt des Kiezbündnisses Klausenerplatz e.V. mit rund 40 Ständen statt.</p>",ready,Kiezbündnis Klausenerplatz e.V.
2,Charlottenburg-Wilmersdorf,Weihnachtsmarkt vor dem Schloss Charlottenburg,Spandauer Damm zwischen Luisenplatz und Klausenerplatz,14059 Berlin,,,Mo-Do 14:00-22:00<br>Fr-So 12:00-22:00<br>25./26.12. 12:00-20:00,,,,,,,,14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,14:00-22:00,14:00-22:00,,12:00-20:00,12:00-20:00,12:00-22:00,12:00-22:00,,,,,,,,,,werbeteam berlin/Tommy Erbe,,,261 20 12,,261 20 22,info@werbeteam-berlin.de,www.werbeteam-berlin.de,"Eintrittspreise (nur am Samstag ab 16.30 Uhr): Erwachsene 3.- €, Ermäßigung (Schüler, Auszubildende, Studenten, Wehrdienst- und Zivildienstleistende und Senioren, Kinder ab 10 Jahren) 1.- €, Gäste mit Mobilitätseinschränkung inkl. einer Begleitung und Kinder unter 10 Jahren zahlen keinen Eintritt",gewerblich,"<p>Die alljährliche Weihnachtszeit wird ganz besonders von unseren Kindern mit großer Vorfreude herbeigesehnt. Deshalb haben wir für unsere kleinsten Besucher ein zusätzliches Areal direkt vor der Kleinen Orangerie geschaffen, auf dem wir mit besonderen Angeboten aufwarten: Es gibt mehrere nostalgische und historische Kinderkarussells, ein Riesenrad, einen Kettenflieger, eine Mini-Achterbahn, ein Pferde-Karussell und die schon genannte Luftschaukel. Auch wieder mit dabei ist die kleine Märchen-Eisenbahn und ganz neu unser Oldtimerkarussell, das durch den weihnachtlichen beleuchteten Winterwald fährt.</p><p>Unsere Gastronomen bieten köstliche Spezialitäten aus unterschiedlichsten Regionen und Ländern wie z.B. Ungarn, Polen, Russland, den Niederlanden, Italien, Schweden, Frankreich, Österreich, Bayern, Brandenburg, Berlin und Thüringen darunter Traditionelles und zahlreiche, unbekannte Rezepturen. Ob für ‚auf die Hand’ zum Rundgang oder am gedeckten Tisch in den beheizten Restaurant-Pagoden des schönsten Winter-Open-Air Restaurant Berlins  mit Blick auf das Schloss Charlottenburg – von süß bis herzhaft gibt es ein umfangreiches Speisenangebot zu verkosten: Österreichische Spezialitäten, das große Entenzelt oder Deftiges aus der Brandenburger Küche.</p>",ready,werbeteam berlin
8,Charlottenburg-Wilmersdorf,Weihnachtsmarkt Berlin-Grunewald des Johannischen Sozialwerks e. V.,"St.-Michaels-Heim, Bismarckallee 23",14193 Berlin,,,Fr 16:00-20:00<br>Sa 14:00-20:00<br>So 12:00-18:00,,,,,,,,,,,,16:00-20:00,14:00-20:00,12:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johannisches Sozialwerk e.V.,,,89 68 81 88,,89 68 81 85,,www.johannisches-sozialwerk.de,,gemeinnützig,"<p>Seit Monaten schon haben viele fleißige Hände geklebt und gewerkelt und gebacken. Andere haben Spenden von Trödel, Büchern und Secondhand-Kleidung sortiert und präsentabel vorbereitet. Sänger und Instrumentalisten haben beständig geübt, Laienspieler geprobt, Organisatoren organisiert. Viele ehrenamtliche Helfer – Mitglieder und Freunde der Johannischen Kirche und des Johannischen Sozialwerks e.V. – haben das St.-Michaels-Heim und das Außengelände für Sie vorbereitet und geschmückt. Nun heißen wir Sie alle Herzlich willkommen!</p><p>Wir freuen uns und hoffen, dass Sie bei uns finden, was Ihnen gut tut: Vielleicht etwas Schmuck für den Tannenbaum, Weihnachtsgebäck wie zu Großmutters Zeiten, kulturelle und kulinarische Genüsse, einen schönen Weihnachtsstern, Weihnachtsstimmung bei Gesang und Bläserklang...</p><p>Wir danken für Ihr Kommen und das, was Sie uns an Freude und Zeit bringen. Der Reinerlös dieses Weihnachtsmarktes kommt der Arbeit des Johannischen Sozialwerks e.V. und damit Kindern und Jugendlichen, kranken, behinderten und hilfsbedürftigen Menschen zugute.</p><p>Eine gesegnete Adventszeit wünschen Ihnen das Johannische Sozialwerk e.V. sowie alle Helfer und Mitarbeiter</p>",mail,PixelAnarchy
